PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00kdd,7r/1p3p2/p1n2p2/3kpN1P/1PR5/P2P1P2/1K5P/8 b - - 0 29,h8h5 c4c5 d5e6 f5g7,1373,109,62,18,advantage endgame master short,https://lichess.org/GmwzgjE0/black#58,
00km1,1R3rk1/p2q1ppp/3bpn2/3p4/Q2P4/2N3P1/P3PP1P/2B2RK1 b - - 0 17,d7a4 b8f8 g8f8 c3a4,1398,76,78,600,crushing intermezzo middlegame short,https://lichess.org/W2y2Akcv/black#34,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
00ko8,6k1/5ppp/pp6/3q4/P2R2Q1/8/1Pr1r1PP/5R1K b - - 3 26,h7h5 g4e2 c2e2 d4d5,1706,78,83,73,advantage endgame master short,https://lichess.org/hUVak5e1/black#52,
00kyA,k2r3r/pp6/6R1/3P2Pp/2P2B1n/P1N4q/1P3P2/R2Q2K1 w - - 1 24,d1f1 h4f3,1060,78,70,105,mate mateIn1 middlegame oneMove,https://lichess.org/IwZQoemw#47,
00l0K,2b5/2p2p2/k7/1qQ1P3/1p6/1N3P2/1PP5/2K5 w - - 3 38,c5c7 b5f1 c1d2 f1f2 d2d3 c8f5 d3c4 f2c2 c4b4 c2c7,1654,74,60,188,crushing deflection endgame skewer veryLong,https://lichess.org/MeKa7kj3#75,
00l1z,8/8/2p5/7R/2B4P/KP2knp1/P1P5/8 w - - 0 45,h5g5 f3g5 h4g5 g3g2,1279,75,75,488,advancedPawn advantage endgame master short,https://lichess.org/rxdwGjw0#89,
00l68,3k2Q1/q7/3pB1p1/2pP1p2/2P2P2/rp2PK1P/8/8 b - - 2 37,d8c7 g8c8 c7b6 c8c6 b6a5 c6b5,1249,77,97,14061,endgame long mate mateIn3,https://lichess.org/jJLdwY9R/black#74,
00l7Y,r1b2q2/p3p1bk/2p3p1/3pn2p/8/2NB3P/PPPBQ1P1/5RK1 b - - 1 17,f8d8 e2h5 h7g8 d3g6 e5g6 h5g6,1534,74,95,7132,advantage deflection long middlegame pin,https://lichess.org/8zmb6Ot6/black#34,Sicilian_Defense Sicilian_Defense_Open
00lA1,r3k2r/ppp3Np/3p2pB/2b1p3/2B1P3/2NP3q/PPP2P2/R2R2K1 b - - 3 17,e8d8 h6g5 d8d7 c4e6 h3e6 g7e6,1690,74,96,4631,advantage fork long middlegame,https://lichess.org/UXSJkHbF/black#34,Four_Knights_Game Four_Knights_Game_Spanish_Variation
00lG8,1r2b1k1/5ppp/1r2p3/2Q5/p3P3/5P2/P1P3PP/2KR4 w - - 5 26,d1d8 b6b1 c1d2 b8d8,1260,76,73,191,advantage endgame short,https://lichess.org/5GuRg1Gx#51,
00lHu,8/p7/6P1/4p3/R4pK1/1r2k2P/8/8 b - - 0 47,f4f3 g6g7 b3b8 a4a3,1689,76,94,7944,advancedPawn crushing endgame rookEndgame short,https://lichess.org/kX9fNCdN/black#94,
00lIV,r2qr1k1/pb2bppp/2p2n2/3pN1B1/2P5/4P3/PPQ2PPP/3RKB1R w K - 3 13,f1e2 e7b4 e1f1 e8e5,1627,76,94,3700,crushing discoveredAttack middlegame short,https://lichess.org/6IHxFPRp#25,Queens_Gambit_Declined Queens_Gambit_Declined_Normal_Defense
00lJm,5r1k/ppp1nBp1/3pN3/7p/3P3P/2P2RK1/PP3QP1/1q5r b - - 6 26,f8f7 f3f7 b1d3 f2f3,2178,88,90,1841,advantage hangingPiece middlegame short,https://lichess.org/iXsE09XZ/black#52,
00lL3,Qr5k/5pp1/5N1p/4q3/4P3/8/7P/6RK w - - 6 36,g1a1 g7f6 a8b8 e5b8,1787,75,84,80,crushing endgame hangingPiece short,https://lichess.org/QUlxxlTc#71,
00lMW,2r4k/p4qpp/1p2R3/2p3Q1/8/7P/PB3PP1/6K1 b - - 0 29,f7e6 g5g7,675,103,94,167,endgame mate mateIn1 oneMove,https://lichess.org/nd9PhkFp/black#58,
00lPH,5r1k/ppp3pp/1bp2rq1/4B3/Q1BP4/2P4b/PP1N2PK/4R2R w - - 0 21,e5g3 h3g2 h1f1 g2f1,2106,88,63,27,crushing middlegame short,https://lichess.org/IO95HyLK#41,
00lPy,r7/3R1pkp/2p1p1p1/3bB3/1r6/2R4P/5PP1/6K1 b - - 1 24,g7f8 e5d6 f8g7 d6b4 a8a1 g1h2,1261,78,74,138,advantage endgame fork long,https://lichess.org/yjElTdKc/black#48,
00lRC,8/3k1p1p/8/3Pp3/4K3/3P2P1/1pB4P/b7 b - - 1 36,d7d6 c2b1 f7f5 e4f5,2076,79,92,469,bishopEndgame crushing endgame quietMove short,https://lichess.org/TLhjLF8g/black#72,
